cell_id,centroid_x,centroid_y,dx,dy,bearing_deg,ds_id,area_m2,soil_type,wpf_ymin,wpf_ymax,wpf_k
46,1526589.087000,5172138.971000,-24.999700,-374.999500,183.814034,183,100.000000,Organic patch,1.100000,2.200000,0.038000
47,1526599.087000,5172138.971000,-14.999700,-374.999500,182.290567,182,100.000000,Organic patch,1.100000,2.200000,0.038000
48,1526609.087000,5172138.971000,-4.999700,-374.999500,180.763854,180,100.000000,Organic patch,1.100000,2.200000,0.038000
49,1526619.087000,5172138.971000,5.000300,-374.999500,179.236055,179,100.000000,Organic patch,1.100000,2.200000,0.038000
50,1526629.087000,5172138.971000,15.000300,-374.999500,177.709341,177,100.000000,Organic patch,1.100000,2.200000,0.038000
51,1526639.087000,5172138.971000,25.000300,-374.999500,176.185874,176,100.000000,Organic patch,1.100000,2.200000,0.038000
52,1526649.087000,5172138.971000,35.000300,-374.999500,174.667789,174,100.000000,Organic patch,1.100000,2.200000,0.038000
53,1526659.087000,5172138.971000,45.000300,-374.999500,173.157172,173,100.000000,Organic patch,1.100000,2.200000,0.038000
54,1526669.087000,5172138.971000,55.000300,-374.999500,171.656053,171,100.000000,Organic patch,1.100000,2.200000,0.038000
55,1526679.087000,5172138.971000,65.000300,-374.999500,170.166379,170,100.000000,Organic patch,1.100000,2.200000,0.038000
56,1526689.087000,5172138.971000,75.000300,-374.999500,168.690009,168,100.000000,Organic patch,1.100000,2.200000,0.038000
57,1526699.087000,5172138.971000,85.000300,-374.999500,167.228697,167,100.000000,Organic patch,1.100000,2.200000,0.038000
58,1526709.087000,5172138.971000,95.000300,-374.999500,165.784085,165,100.000000,Organic patch,1.100000,2.200000,0.038000
59,1526719.087000,5172138.971000,105.000300,-374.999500,164.357691,164,100.000000,Organic patch,1.100000,2.200000,0.038000
60,1526729.087000,5172138.971000,115.000300,-374.999500,162.950906,162,100.000000,Organic patch,1.100000,2.200000,0.038000
61,1526739.087000,5172138.971000,125.000300,-374.999500,161.564987,161,100.000000,Organic patch,1.100000,2.200000,0.038000
62,1526749.087000,5172138.971000,135.000300,-374.999500,160.201059,160,100.000000,Organic patch,1.100000,2.200000,0.038000
63,1526459.087000,5172148.971000,-154.999700,-364.999500,203.008858,203,100.000000,Organic patch,1.100000,2.200000,0.038000
64,1526469.087000,5172148.971000,-144.999700,-364.999500,201.665945,201,100.000000,Organic patch,1.100000,2.200000,0.038000
65,1526479.087000,5172148.971000,-134.999700,-364.999500,200.297554,200,100.000000,Organic patch,1.100000,2.200000,0.038000
66,1526489.087000,5172148.971000,-124.999700,-364.999500,198.904558,198,100.000000,Organic patch,1.100000,2.200000,0.038000
67,1526499.087000,5172148.971000,-114.999700,-364.999500,197.487977,197,100.000000,Organic patch,1.100000,2.200000,0.038000
68,1526509.087000,5172148.971000,-104.999700,-364.999500,196.048982,196,100.000000,Organic patch,1.100000,2.200000,0.038000
69,1526519.087000,5172148.971000,-94.999700,-364.999500,194.588894,194,100.000000,Organic patch,1.100000,2.200000,0.038000
70,1526529.087000,5172148.971000,-84.999700,-364.999500,193.109181,193,100.000000,Organic patch,1.100000,2.200000,0.038000
71,1526539.087000,5172148.971000,-74.999700,-364.999500,191.611457,191,100.000000,Organic patch,1.100000,2.200000,0.038000
72,1526549.087000,5172148.971000,-64.999700,-364.999500,190.097472,190,100.000000,Organic patch,1.100000,2.200000,0.038000
73,1526559.087000,5172148.971000,-54.999700,-364.999500,188.569107,188,100.000000,Organic patch,1.100000,2.200000,0.038000
74,1526569.087000,5172148.971000,-44.999700,-364.999500,187.028359,187,100.000000,Organic patch,1.100000,2.200000,0.038000
75,1526579.087000,5172148.971000,-34.999700,-364.999500,185.477330,185,100.000000,Organic patch,1.100000,2.200000,0.038000
76,1526589.087000,5172148.971000,-24.999700,-364.999500,183.918207,183,100.000000,Organic patch,1.100000,2.200000,0.038000
77,1526599.087000,5172148.971000,-14.999700,-364.999500,182.353253,182,100.000000,Organic patch,1.100000,2.200000,0.038000
78,1526609.087000,5172148.971000,-4.999700,-364.999500,180.784779,180,100.000000,Organic patch,1.100000,2.200000,0.038000
79,1526619.087000,5172148.971000,5.000300,-364.999500,179.215127,179,100.000000,Organic patch,1.100000,2.200000,0.038000
80,1526629.087000,5172148.971000,15.000300,-364.999500,177.646653,177,100.000000,Organic patch,1.100000,2.200000,0.038000
81,1526639.087000,5172148.971000,25.000300,-364.999500,176.081699,176,100.000000,Organic patch,1.100000,2.200000,0.038000
82,1526649.087000,5172148.971000,35.000300,-364.999500,174.522577,174,100.000000,Organic patch,1.100000,2.200000,0.038000
83,1526659.087000,5172148.971000,45.000300,-364.999500,172.971548,172,100.000000,Organic patch,1.100000,2.200000,0.038000
84,1526669.087000,5172148.971000,55.000300,-364.999500,171.430801,171,100.000000,Organic patch,1.100000,2.200000,0.038000
85,1526679.087000,5172148.971000,65.000300,-364.999500,169.902436,169,100.000000,Organic patch,1.100000,2.200000,0.038000
86,1526689.087000,5172148.971000,75.000300,-364.999500,168.388453,168,100.000000,Organic patch,1.100000,2.200000,0.038000
87,1526699.087000,5172148.971000,85.000300,-364.999500,166.890730,166,100.000000,Organic patch,1.100000,2.200000,0.038000
88,1526709.087000,5172148.971000,95.000300,-364.999500,165.411018,165,100.000000,Organic patch,1.100000,2.200000,0.038000
89,1526719.087000,5172148.971000,105.000300,-364.999500,163.950931,163,100.000000,Organic patch,1.100000,2.200000,0.038000
90,1526729.087000,5172148.971000,115.000300,-364.999500,162.511937,162,100.000000,Organic patch,1.100000,2.200000,0.038000
91,1526739.087000,5172148.971000,125.000300,-364.999500,161.095358,161,100.000000,Organic patch,1.100000,2.200000,0.038000
92,1526749.087000,5172148.971000,135.000300,-364.999500,159.702363,159,100.000000,Organic patch,1.100000,2.200000,0.038000
93,1526759.087000,5172148.971000,145.000300,-364.999500,158.333974,158,100.000000,Organic patch,1.100000,2.200000,0.038000
94,1526769.087000,5172148.971000,155.000300,-364.999500,156.991062,156,100.000000,Organic patch,1.100000,2.200000,0.038000
95,1526439.087000,5172158.971000,-174.999700,-354.999500,206.241343,206,100.000000,Organic patch,1.100000,2.200000,0.038000
96,1526449.087000,5172158.971000,-164.999700,-354.999500,204.928465,204,100.000000,Organic patch,1.100000,2.200000,0.038000
97,1526459.087000,5172158.971000,-154.999700,-354.999500,203.587019,203,100.000000,Organic patch,1.100000,2.200000,0.038000
98,1526469.087000,5172158.971000,-144.999700,-354.999500,202.217581,202,100.000000,Organic patch,1.100000,2.200000,0.038000
99,1526479.087000,5172158.971000,-134.999700,-354.999500,200.820877,200,100.000000,Organic patch,1.100000,2.200000,0.038000
100,1526489.087000,5172158.971000,-124.999700,-354.999500,199.397795,199,100.000000,Organic patch,1.100000,2.200000,0.038000
101,1526499.087000,5172158.971000,-114.999700,-354.999500,197.949383,197,100.000000,Organic patch,1.100000,2.200000,0.038000
102,1526509.087000,5172158.971000,-104.999700,-354.999500,196.476859,196,100.000000,Organic patch,1.100000,2.200000,0.038000
103,1526519.087000,5172158.971000,-94.999700,-354.999500,194.981608,194,100.000000,Organic patch,1.100000,2.200000,0.038000
104,1526529.087000,5172158.971000,-84.999700,-354.999500,193.465181,193,100.000000,Organic patch,1.100000,2.200000,0.038000
105,1526539.087000,5172158.971000,-74.999700,-354.999500,191.929292,191,100.000000,Organic patch,1.100000,2.200000,0.038000
106,1526549.087000,5172158.971000,-64.999700,-354.999500,190.375812,190,100.000000,Organic patch,1.100000,2.200000,0.038000
107,1526559.087000,5172158.971000,-54.999700,-354.999500,188.806758,188,100.000000,Organic patch,1.100000,2.200000,0.038000
108,1526569.087000,5172158.971000,-44.999700,-354.999500,187.224278,187,100.000000,Organic patch,1.100000,2.200000,0.038000
109,1526579.087000,5172158.971000,-34.999700,-354.999500,185.630643,185,100.000000,Organic patch,1.100000,2.200000,0.038000
110,1526589.087000,5172158.971000,-24.999700,-354.999500,184.028221,184,100.000000,Organic patch,1.100000,2.200000,0.038000
111,1526599.087000,5172158.971000,-14.999700,-354.999500,182.419464,182,100.000000,Organic patch,1.100000,2.200000,0.038000
112,1526609.087000,5172158.971000,-4.999700,-354.999500,180.806882,180,100.000000,Organic patch,1.100000,2.200000,0.038000
113,1526619.087000,5172158.971000,5.000300,-354.999500,179.193021,179,100.000000,Organic patch,1.100000,2.200000,0.038000
114,1526629.087000,5172158.971000,15.000300,-354.999500,177.580439,177,100.000000,Organic patch,1.100000,2.200000,0.038000
115,1526639.087000,5172158.971000,25.000300,-354.999500,175.971682,175,100.000000,Organic patch,1.100000,2.200000,0.038000
116,1526649.087000,5172158.971000,35.000300,-354.999500,174.369261,174,100.000000,Organic patch,1.100000,2.200000,0.038000
117,1526659.087000,5172158.971000,45.000300,-354.999500,172.775627,172,100.000000,Organic patch,1.100000,2.200000,0.038000
118,1526669.087000,5172158.971000,55.000300,-354.999500,171.193148,171,100.000000,Organic patch,1.100000,2.200000,0.038000
119,1526679.087000,5172158.971000,65.000300,-354.999500,169.624094,169,100.000000,Organic patch,1.100000,2.200000,0.038000
120,1526689.087000,5172158.971000,75.000300,-354.999500,168.070615,168,100.000000,Organic patch,1.100000,2.200000,0.038000
121,1526699.087000,5172158.971000,85.000300,-354.999500,166.534728,166,100.000000,Organic patch,1.100000,2.200000,0.038000
122,1526709.087000,5172158.971000,95.000300,-354.999500,165.018302,165,100.000000,Organic patch,1.100000,2.200000,0.038000
123,1526719.087000,5172158.971000,105.000300,-354.999500,163.523052,163,100.000000,Organic patch,1.100000,2.200000,0.038000
124,1526729.087000,5172158.971000,115.000300,-354.999500,162.050530,162,100.000000,Organic patch,1.100000,2.200000,0.038000
125,1526739.087000,5172158.971000,125.000300,-354.999500,160.602119,160,100.000000,Organic patch,1.100000,2.200000,0.038000
126,1526749.087000,5172158.971000,135.000300,-354.999500,159.179038,159,100.000000,Organic patch,1.100000,2.200000,0.038000
